Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
"1,349",Pol Clarissou,Pol Clarissou is creating digital oddities (polclarissou),https://graphtreon.com/creator/polclarissou,12,$48 per month,$3.99 per month,423,Aug 2018
"1,350",Squarepainter,Squarepainter is creating painted pixel art on canvas (Squarepainter),https://graphtreon.com/creator/Squarepainter,12,$37 per each canvas painting and video posted,$3.08 per each canvas painting and video posted,198,Mar 2019
"1,351",Nino Vecia,Nino Vecia is creating Shadows of Aydralem (ninovecia),https://graphtreon.com/creator/ninovecia,12,,,243,Feb 2019
"1,352",Chloe,Chloe is creating Art (chloehenderson),https://graphtreon.com/creator/chloehenderson,12,$76 per month,$6.33 per month,1271,Apr 2016
"1,353",The Da Vinci Initiative,The Da Vinci Initiative is creating Online Drawing Courses (davinciinitiative),https://graphtreon.com/creator/davinciinitiative,12,$18 per video,$1.50 per video,1106,Sep 2016
"1,354",Berry Blitz Studio,Berry Blitz Studio is creating Cute and Colorful Vector Art That's Totally Sweet! (berryblitzstudio),https://graphtreon.com/creator/berryblitzstudio,12,$32 per month,$2.65 per month,488,Jun 2018
"1,355",Hyraxid,Hyraxid is creating comics and illustrations (theregoesmotivation),https://graphtreon.com/creator/theregoesmotivation,12,,,250,Jan 2019
"1,356",Lise Richardson,"Lise Richardson is creating illustrations, zines, comics, and quite niche things. (liserichardson)",https://graphtreon.com/creator/liserichardson,12,$82 per month,$6.87 per month,492,May 2018
"1,357",NikoDraws,NikoDraws is creating Illustrations  (Nikodraws),https://graphtreon.com/creator/Nikodraws,12,$197 per month,$16.39 per month,1463,Sep 2015
"1,358",PkingSora,"PkingSora is creating Art work, Illustrations ,Tutorials and Lessons (PkingSora)",https://graphtreon.com/creator/PkingSora,12,,,149,May 2019
"1,359",Brimochi,Brimochi is creating Illustrations and Fanart (brimochi),https://graphtreon.com/creator/brimochi,12,$273 per month,$22.76 per month,1403,Nov 2015
"1,360",Yagi Hikaru,"Yagi Hikaru is creating  Art, Illustrations and Paintings  (yagihikaru)",https://graphtreon.com/creator/yagihikaru,12,$50 per month,$4.16 per month,842,Jun 2017
"1,361",PDX Network,PDX Network is creating Minecraft Servers (PDXMinecraft),https://graphtreon.com/creator/PDXMinecraft,12,$104 per creation,$8.66 per creation,692,Nov 2017
"1,362",AEM01,"AEM01 is creating illustrations, fanarts, manga, art, military girls (AEM01)",https://graphtreon.com/creator/AEM01,12,,,561,Mar 2018
"1,363",kiikiibee,"kiikiibee is creating illustrations, designs, and tutorials (kiikiibee)",https://graphtreon.com/creator/kiikiibee,12,$32 per month,$2.70 per month,1097,Sep 2016
"1,364",Eli,Eli is creating Art (badkingdom),https://graphtreon.com/creator/badkingdom,12,$18 per month,$1.51 per month,622,Jan 2018
"1,365",Laura K. Watson,"Laura K. Watson is creating Prints, Zines, Poetry, Mail Art (laurakwatson)",https://graphtreon.com/creator/laurakwatson,12,$70 per month,$5.80 per month,898,Apr 2017
"1,366",Jeff Ramos,"Jeff Ramos is creating illustrations, pixel art, and tutorials! (ohjefframos)",https://graphtreon.com/creator/ohjefframos,12,,,576,Mar 2018
"1,367",Orthodox Pebbles,Orthodox Pebbles is creating Orthodox Christian teaching material for young children. (orthodoxpebbles),https://graphtreon.com/creator/orthodoxpebbles,12,,,210,Mar 2019
"1,368",Corrie,Corrie is creating Illustrations (JezebelLocked),https://graphtreon.com/creator/JezebelLocked,12,$126 per month,$10.50 per month,678,Nov 2017
"1,369", Rae, Rae is creating cool artworks~ (SketchyRae),https://graphtreon.com/creator/SketchyRae,12,$83 per month,$6.93 per month,901,Apr 2017
"1,370",Mossy,Mossy is creating Digital Art and Illustrations! (mossygator),https://graphtreon.com/creator/mossygator,12,$130 per month,$10.83 per month,165,Apr 2019
"1,371",Kaz Palladino,"Kaz Palladino is creating Illustrations, cheeky greeting cards & prints (AwkwardAffections)",https://graphtreon.com/creator/AwkwardAffections,12,,,153,May 2019
"1,372",Tyler R Smith,Tyler R Smith is creating Digital Artwork,https://graphtreon.com/creator/user?u=15201676,12,,,182,Apr 2019
"1,373",Linden Illuminated,"Linden Illuminated is creating Historical Arts, Scribal works, and Appliqué (LindenIlluminated)",https://graphtreon.com/creator/LindenIlluminated,12,$537 per month,$44.73 per month,641,Dec 2017
