Rank,CreatorName,Description,CreatorSite,PatreonSite,Instagram,Facebook,Twitter,YouTube,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
53,JRN-Arts,JRN-Arts is creating Anthro Illustrations and Original Life +5 (jrnarts),https://graphtreon.com/creator/jrnarts,https://www.patreon.com/jrnarts,0,0,0,https://www.youtube.com/user/JayRNaylor,316,,,552,18-Mar
54,Annie Stegg Gerard,Annie Stegg Gerard is creating oil paintings (AnnieSteggGerard),https://graphtreon.com/creator/AnnieSteggGerard,https://www.patreon.com/AnnieSteggGerard,0,0,0,0,306,"$4,569 per month",$14.93 per month,551,18-Mar
55,Alicia Aradilla,Alicia Aradilla is creating watercolour demos & tutorials (aradilla),https://graphtreon.com/creator/aradilla,https://www.patreon.com/aradilla,0,0,0,0,301,,,244,19-Jan
56,SenshiStock,SenshiStock is creating Drawing References (senshistock),https://graphtreon.com/creator/senshistock,https://www.patreon.com/senshistock,https://www.instagram.com/senshistock,0,https://twitter.com/SenshiStock,0,298,,,1537,15-Jul
57,Ækashics,Ækashics is creating RPG Assets for any engine!  (aekashics),https://graphtreon.com/creator/aekashics,https://www.patreon.com/aekashics,0,0,https://twitter.com/aekashics,https://www.youtube.com/channel/UC01w_68W_S93rR8DrrrGAgg,296,,,1339,16-Feb
58,Créations CeeCee,"Créations CeeCee is creating watercolor paintings, acrylic paintings, drawings (CreationsCeeCee)",https://graphtreon.com/creator/CreationsCeeCee,https://www.patreon.com/CreationsCeeCee,https://www.instagram.com/creationsceecee,0,0,https://www.youtube.com/CeeCees-Creations-64144912197/timeline/,296,,,1430,15-Nov
59,Synnesai,Synnesai is creating Digital Illustration  (synnesai),https://graphtreon.com/creator/synnesai,https://www.patreon.com/synnesai,0,0,https://twitter.com/synnesai,0,295,,,1736,14-Dec
60,Jenny Dolfen,Jenny Dolfen is creating art. And pins. And art pins.  (jennydolfen),https://graphtreon.com/creator/jennydolfen,https://www.patreon.com/jennydolfen,https://www.instagram.com/jennydolfen,0,https://twitter.com/JennyDolfen,https://www.youtube.com/user/GoldSeven,294,,,1646,15-Mar
61,Saul Espinosa,Saul Espinosa is creating Tutorials - Step by Steps - Matte Paintings - Art (theartofsaul),https://graphtreon.com/creator/theartofsaul,https://www.patreon.com/theartofsaul,0,0,https://twitter.com/theartofsaul,https://www.youtube.com/c/SaulEspinosa,293,,,789,17-Aug
62,Chet Zar,"Chet Zar is creating Oil paintings, sculptures, drawings and tutorials (chetzar)",https://graphtreon.com/creator/chetzar,https://www.patreon.com/chetzar,0,0,https://twitter.com/chetzar,https://www.youtube.com/user/chetzar,293,,,583,18-Feb
