Rank,CreatorName,Description,CreatorSite,Patrons,Earnings,EarningPerPatron,DaysRunning,Launched
54,Annie Stegg Gerard,Annie Stegg Gerard is creating oil paintings (AnnieSteggGerard),https://graphtreon.com/creator/AnnieSteggGerard,306,"$4,569 per month",$14.93 per month,551,Mar-18
55,Alicia Aradilla,Alicia Aradilla is creating watercolour demos & tutorials (aradilla),https://graphtreon.com/creator/aradilla,301,,,244,Jan-19
56,SenshiStock,SenshiStock is creating Drawing References (senshistock),https://graphtreon.com/creator/senshistock,298,,,1537,Jul-15
57,Ækashics,Ækashics is creating RPG Assets for any engine!  (aekashics),https://graphtreon.com/creator/aekashics,296,,,1339,Feb-16
58,Créations CeeCee,"Créations CeeCee is creating watercolor paintings, acrylic paintings, drawings (CreationsCeeCee)",https://graphtreon.com/creator/CreationsCeeCee,296,,,1430,Nov-15
59,Synnesai,Synnesai is creating Digital Illustration  (synnesai),https://graphtreon.com/creator/synnesai,295,,,1736,Dec-14
60,Jenny Dolfen,Jenny Dolfen is creating art. And pins. And art pins.  (jennydolfen),https://graphtreon.com/creator/jennydolfen,294,,,1646,Mar-15
61,Saul Espinosa,Saul Espinosa is creating Tutorials - Step by Steps - Matte Paintings - Art (theartofsaul),https://graphtreon.com/creator/theartofsaul,293,,,789,Aug-17
62,Chet Zar,"Chet Zar is creating Oil paintings, sculptures, drawings and tutorials (chetzar)",https://graphtreon.com/creator/chetzar,293,,,583,Feb-18
63,Christine Karron,Christine Karron is creating illustrations (christinekarron),https://graphtreon.com/creator/christinekarron,283,,,559,Mar-18
64,Akuma Press,Akuma Press is creating a monthly pin club! (akumapress),https://graphtreon.com/creator/akumapress,282,,,343,Oct-18
65,Anthony Scroggins,Anthony Scroggins is creating Scifi Artwork (ShimmeringSword),https://graphtreon.com/creator/ShimmeringSword,282,$672 per month,$2.38 per month,1768,Nov-14
66,Piper Thibodeau,Piper Thibodeau is creating Daily Paintings (piperdraws),https://graphtreon.com/creator/piperdraws,280,,,1724,Jan-15
67,Thomas Romain and his sons,Thomas Romain and his sons is creating designs and illustrations  (thomasromain),https://graphtreon.com/creator/thomasromain,280,,,899,Apr-17
68,rk  post,rk  post is creating Exclusive tokens (art cards) (rkpost),https://graphtreon.com/creator/rkpost,275,,,1141,Aug-16
69,Mateusz Urbanowicz,"Mateusz Urbanowicz is creating Animation, Illustration, Watercolours. Also, background art. (mateuszurbanowicz)",https://graphtreon.com/creator/mateuszurbanowicz,275,$874 per month,$3.18 per month,804,Jul-17
70,Jesse Hamm,Jesse Hamm is creating Art and Writing Essays About Drawing Comics (jessehamm),https://graphtreon.com/creator/jessehamm,274,$603 per month,$2.20 per month,1293,Mar-16
71,Eliza Gauger,Eliza Gauger is creating Problem Glyphs (problemglyphs),https://graphtreon.com/creator/problemglyphs,267,,,2035,Mar-14
72,Flameon Miniatures,Flameon Miniatures is creating tutorials about painting miniatures (FlameonMiniatures),https://graphtreon.com/creator/FlameonMiniatures,249,,,937,Mar-17
73,Aaron McKee,Aaron McKee is creating horror narrations and 3D artwork. (thevolgun),https://graphtreon.com/creator/thevolgun,244,,,675,Nov-17
74,Nivanh Chanthara,Nivanh Chanthara is creating Concept-Arts and Illustrations. (nivanhchanthara),https://graphtreon.com/creator/nivanhchanthara,242,,,668,Dec-17
75,Michelle Coffee,Michelle Coffee is creating a print + sticker club  (michellecoffee),https://graphtreon.com/creator/michellecoffee,239,,,152,May-19
76,Ty Carter,Ty Carter is creating Illustrations (tycarter),https://graphtreon.com/creator/tycarter,237,"$4,093 per month",$17.27 per month,1331,Feb-16
77,Daria Cohen,Daria Cohen is creating Animation and Illustrations (DariaCohen),https://graphtreon.com/creator/DariaCohen,236,"$1,310 per month",$5.55 per month,734,Sep-17
78,Charlie Bowater,Charlie Bowater is creating Illustrations (charliebowater),https://graphtreon.com/creator/charliebowater,236,$803 per month,$3.40 per month,736,Sep-17
79,Daria Callie,"Daria Callie is creating oil paintings, painting tutorials and other art-related videos (dariacallie)",https://graphtreon.com/creator/dariacallie,235,,,415,Aug-18
80,Alex Steacy,Alex Steacy is creating comics and artwork (alexsteacy),https://graphtreon.com/creator/alexsteacy,233,$799 per month,$3.43 per month,1882,Aug-14
81,Lord Gris,"Lord Gris is creating Postcards, Illustrations & Paintings (lordgris)",https://graphtreon.com/creator/lordgris,233,"$1,989 per month",$8.54 per month,155,Apr-19
82,Kujo Painting,Kujo Painting is creating Miniature Painting Tutorials (kujopainting),https://graphtreon.com/creator/kujopainting,233,$914 per month,$3.92 per month,793,Jul-17
83,Fishball,Fishball is creating My Giant Nerd Boyfriend (fishballishere),https://graphtreon.com/creator/fishballishere,227,,,495,May-18
84,Nipuni,"Nipuni is creating Illustrations, Art videos, Tutorials and Fanart (nipuni)",https://graphtreon.com/creator/nipuni,221,,,852,Jun-17
85,Jason Porath,Jason Porath is creating Rejected Princesses: illustrations and tales of badass women (rejectedprincesses),https://graphtreon.com/creator/rejectedprincesses,220,,,1076,Oct-16
86,Pauline,Pauline is creating Illustrations (Punziella),https://graphtreon.com/creator/Punziella,216,,,936,Mar-17
87,Oliver Späth,Oliver Späth is creating Miniature Art (Oliver_Spaeth),https://graphtreon.com/creator/Oliver_Spaeth,214,,,602,Feb-18
88,punimelt,punimelt is creating small + big things (punimelt),https://graphtreon.com/creator/punimelt,205,,,1001,Jan-17
89,Goro Fujita,Goro Fujita is creating Live Painting and Animation Tutorials -  Art Prints (goro),https://graphtreon.com/creator/goro,203,,,1240,May-16
90,Bryan Schiavone,Bryan Schiavone is creating drawings and lessons (bryanthegirl),https://graphtreon.com/creator/bryanthegirl,202,,,463,Jun-18
91,Camilla d'Errico,Camilla d'Errico is creating Pop Surrealist Manga Art (camilladerrico),https://graphtreon.com/creator/camilladerrico,201,,,748,Sep-17
92,Sergey Kolesov,Sergey Kolesov is creating artworks and videos (peleng),https://graphtreon.com/creator/peleng,199,$580 per month,$2.91 per month,1731,Jan-15
93,John Larriva,"John Larriva is creating Paintings, Demos, and Sketches (johnlarriva)",https://graphtreon.com/creator/johnlarriva,198,,,1433,Oct-15
94,Sibylline Meynet,Sibylline Meynet is creating illustrations (sibyllinem),https://graphtreon.com/creator/sibyllinem,195,"$1,910 per month",$9.79 per month,738,Sep-17
95,minusT,"minusT is creating Fanarts, Paintings and Animations (tauminust)",https://graphtreon.com/creator/tauminust,194,,,1412,Nov-15
96,Unmask Art,Unmask Art is creating Colored Pencil & Pastel Tutorials  (UnmaskArt),https://graphtreon.com/creator/UnmaskArt,194,"$1,031 per month",$5.31 per month,1582,Jun-15
97,Paper Panda,"Paper Panda is creating Artwork, Downloads and Smiles! (paperpanda)",https://graphtreon.com/creator/paperpanda,191,,,1059,Nov-16
98,ColorByFeliks,ColorByFeliks is creating Acrylic Painting For All :D (colorbyfeliks),https://graphtreon.com/creator/colorbyfeliks,191,,,634,Jan-18
99,A Stranger Dream,A Stranger Dream is creating Horror Illustrations & Bookmarks (astrangerdream),https://graphtreon.com/creator/astrangerdream,190,"$1,383 per month",$7.28 per month,364,Oct-18
100,missmonster,"missmonster is creating mold/casting , toy, costume, prop and painting tutorials! (missmonster)",https://graphtreon.com/creator/missmonster,188,"$1,247 per month",$6.63 per month,1089,Oct-16
101,nixelpixel,nixelpixel is creating видео и активизм! (nixelpixel),https://graphtreon.com/creator/nixelpixel,185,$888 per month,$4.80 per month,772,Aug-17
102,Amy Brown Art,Amy Brown Art is creating art - watercolor paintings (amybrownart),https://graphtreon.com/creator/amybrownart,182,,,924,Mar-17
103,Katie,Katie is creating Comics & Illustrations (strangelykatie),https://graphtreon.com/creator/strangelykatie,181,$744 per month,$4.11 per month,1465,Sep-15
104,GHOST,GHOST is creating VOCALOID original songs and artwork (ghostandpals),https://graphtreon.com/creator/ghostandpals,181,,,1273,Apr-16
105,Koyorin,Koyorin is creating Illustrations and Characters (koyorin),https://graphtreon.com/creator/koyorin,178,,,1156,Aug-16
106,Naomi Romero,Naomi Romero is creating illustrations and merchandise (naomiromero),https://graphtreon.com/creator/naomiromero,178,"$1,774 per month",$9.97 per month,793,Jul-17
107,Kat Tsai,Kat Tsai is creating digital illustrations (chuwenjie),https://graphtreon.com/creator/chuwenjie,177,,,428,Jul-18
108,Milby's Maps,Milby's Maps is creating Hand-Drawn Fantasy Cartography (milbysmaps),https://graphtreon.com/creator/milbysmaps,177,$985 per month,$5.57 per month,377,Sep-18
109,James Wappel,James Wappel is creating tutorials for painting miniatures and terrain (JamesWappel),https://graphtreon.com/creator/JamesWappel,174,"$1,904 per month",$10.95 per month,696,Nov-17
110,Character Design References,Character Design References is creating the Character Design Challenge! (CharacterDesignChallenge),https://graphtreon.com/creator/CharacterDesignChallenge,172,,,1063,Nov-16
111,Marcello Barenghi,Marcello Barenghi is creating drawing videos and tutorials (marcellobarenghi),https://graphtreon.com/creator/marcellobarenghi,169,"$1,449 per month",$8.57 per month,1447,Oct-15
112,Artist and Painter Knut Andre Vikshåland,Artist and Painter Knut Andre Vikshåland is creating Art Oil Paintings and Oil painting lesson Videos on Youtube  (KnutAndreVikshaland),https://graphtreon.com/creator/KnutAndreVikshaland,168,,,1199,Jun-16
113,Samantha Darcy,Samantha Darcy is creating the Adventurer’s Fashion Primer (samdarcy),https://graphtreon.com/creator/samdarcy,168,,,617,Jan-18
114,Astri Lohne,Astri Lohne is creating Illustrations and Tutorials (astrilohne),https://graphtreon.com/creator/astrilohne,167,$997 per Illustration Box (usually 1 per month),$5.97 per Illustration Box (usually 1 per month),294,Dec-18
115,Krenz,"Krenz is creating art tutorial,Illustration,fanart (KrenzCushart)",https://graphtreon.com/creator/KrenzCushart,164,"$1,326 per Tutorial",$8.08 per Tutorial,1413,Nov-15
116,Margaret Morales,Margaret Morales is creating watercolor paintings and drawings (margaretmoralesart),https://graphtreon.com/creator/margaretmoralesart,162,,,1061,Nov-16
117,Ten Hundred,"Ten Hundred is creating Murals, Paintings, Clothing and Design (tenhun)",https://graphtreon.com/creator/tenhun,160,"$1,455 per month",$9.09 per month,462,Jun-18
118,Bjenny Montero,Bjenny Montero is creating Artwork (bjennymontero),https://graphtreon.com/creator/bjennymontero,159,,,226,Feb-19
119,ellie vs bear,ellie vs bear is creating illustrations and art tutorials (ellievsbear),https://graphtreon.com/creator/ellievsbear,159,"$1,270 per month",$7.99 per month,150,May-19
120,GUWEIZ,"GUWEIZ is creating Digital Illustrations, Processes & Tutorials (guweiz)",https://graphtreon.com/creator/guweiz,158,"$1,801 per Monthly Content",$11.40 per Monthly Content,1392,Dec-15
121,Frenone,"Frenone is creating Illustrations, Pins & Playing Cards (frenone)",https://graphtreon.com/creator/frenone,157,,,1340,Jan-16
122,SAU-SIEGE,"SAU-SIEGE is creating pretty gaming Illustrations, Videos & Animations (sau_siege)",https://graphtreon.com/creator/sau_siege,156,,,172,Apr-19
123,Caroline Henkelius,Caroline Henkelius is creating products in wool - from our own mill in Sweden  (honerocheir),https://graphtreon.com/creator/honerocheir,155,,,695,Nov-17
124,Ana Godis,Ana Godis is creating illustrations  (ana_godis),https://graphtreon.com/creator/ana_godis,154,,,605,Feb-18
125,$1 Adventure Frameworks,$1 Adventure Frameworks is creating RPG Mini Adventures & Side Treks,https://graphtreon.com/creator/user?u=645444,154,$185 per creation,$1.20 per creation,1113,Sep-16
126,Kip and Kel,Kip and Kel is creating art (kipandkel),https://graphtreon.com/creator/kipandkel,154,,,470,Jun-18
127,LOVESOUP,"LOVESOUP is creating illustration, enamel pins & other creations (lovesoup)",https://graphtreon.com/creator/lovesoup,146,,,444,Jul-18
128,Salaise Figurine Studio,Salaise Figurine Studio is creating Miniature painting (salaisefigurinestudio),https://graphtreon.com/creator/salaisefigurinestudio,146,,,920,Mar-17
129,Darren Carnall,"Darren Carnall is creating miniature painting video tutorials, custom figures and statues (DarrenCarnall)",https://graphtreon.com/creator/DarrenCarnall,146,$712 per month,$4.87 per month,1539,Jul-15
130,Ash,Ash is creating a monthly Poe Egglesworth pin club (fleacircusdesigns),https://graphtreon.com/creator/fleacircusdesigns,144,,,219,Feb-19
131,Marco Bucci,Marco Bucci is creating painting tutorials for artists of all levels (marcobucci),https://graphtreon.com/creator/marcobucci,142,$833 per creation,$5.87 per creation,838,Jun-17
132,Tiny Plant,Tiny Plant is creating a cute sticker club! (tinyplant),https://graphtreon.com/creator/tinyplant,141,,,216,Feb-19
133,Heather Rooney,Heather Rooney is creating Photorealistic Drawings  & Drawing Videos (heatherrooney),https://graphtreon.com/creator/heatherrooney,141,,,732,Sep-17
134,Joy San,Joy San is creating A Graphic Novel & Illustrations (sexytuna),https://graphtreon.com/creator/sexytuna,141,,,1366,Jan-16
135,V-0-3,V-0-3 is creating Paper Roses and Illustrations (v03),https://graphtreon.com/creator/v03,140,,,1215,Jun-16
136,Rory Blank,Rory Blank is creating Drawing pictures of goblins or sad people or something (roryblank),https://graphtreon.com/creator/roryblank,139,$726 per month,$5.22 per month,736,Sep-17
137,Tanya Shatseva,"Tanya Shatseva is creating psychedelic art, surreal acrylic and mixed media paintings (tanyashatseva)",https://graphtreon.com/creator/tanyashatseva,139,,,987,Jan-17
138,White Cloud Pavilion,White Cloud Pavilion is creating Kickass scheduled manhua scanlation for series you love to read (WhiteCloudPavilion),https://graphtreon.com/creator/WhiteCloudPavilion,138,,,1163,Jul-16
139,Chris Ryniak,Chris Ryniak is creating Friendly Monster Drawings! (chrisryniak),https://graphtreon.com/creator/chrisryniak,137,,,1963,May-14
140,Daniel's Maps,Daniel's Maps is creating fantasy and RPG maps (danielsmaps),https://graphtreon.com/creator/danielsmaps,136,$273 per map,$2.00 per map,303,Dec-18
141,The Iconfactory,"The Iconfactory is creating wallpapers, icons & digital goodies! (iconfactory)",https://graphtreon.com/creator/iconfactory,136,,,220,Feb-19
142,Mavichist,Mavichist is creating GenBrush; map painting and rendering software for world builders (genbrush),https://graphtreon.com/creator/genbrush,136,$431 per month,$3.17 per month,201,Mar-19
143,Shayla Maddox,Shayla Maddox is creating Circles • Water • Light (shaylamaddox),https://graphtreon.com/creator/shaylamaddox,134,,,2151,Nov-13
144,Cornelia Hernes Artwork,Cornelia Hernes Artwork is creating Portrait Painting Videos (Corneliahernesartwork),https://graphtreon.com/creator/Corneliahernesartwork,134,,,380,Sep-18
